"filename", "language", "JSON", "C++", "Dart", "HTML", "YAML", "Properties", "CMake", "Markdown", "Swift", "XML", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\lib\game\heroes\animation\recibirdanio.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 10, 77
"c:\programas\exa_gammer_movil\lib\game\heroes\controller\animation_controller.dart", "Dart", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 12, 111
"c:\programas\exa_gammer_movil\lib\game\heroes\controller\heroe_controller.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 1, 18, 176
"c:\programas\exa_gammer_movil\lib\game\heroes\controller\pregunta_controller.dart", "Dart", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 8, 89
"c:\programas\exa_gammer_movil\lib\game\heroes\models\npc.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\programas\exa_gammer_movil\lib\game\heroes\models\personaje.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\programas\exa_gammer_movil\lib\game\heroes\ui\escenario.dart", "Dart", 0, 0, 313, 0, 0, 0, 0, 0, 0, 0, 5, 17, 335
"c:\programas\exa_gammer_movil\lib\game\heroes\ui\mundos.dart", "Dart", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 5, 121
"c:\programas\exa_gammer_movil\lib\game\heroes\ui\personajes.dart", "Dart", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 6, 105
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\ataques.dart", "Dart", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 11, 110
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\barras_vida.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\mensaje.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\mundocard.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\personajecard.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\pregunta.dart", "Dart", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 15, 165
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\preyres.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\rendirse.dart", "Dart", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 2, 10, 165
"c:\programas\exa_gammer_movil\lib\main.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 5, 39
"c:\programas\exa_gammer_movil\lib\models\CursoModel\curso_model.dart", "Dart", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 6, 72
"c:\programas\exa_gammer_movil\lib\models\CursoModel\leccion_model.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\programas\exa_gammer_movil\lib\models\CursoModel\modulo_model.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\programas\exa_gammer_movil\lib\models\CursoModel\pregunta_model.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\programas\exa_gammer_movil\lib\models\clase_model.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"c:\programas\exa_gammer_movil\lib\models\examen_model.dart", "Dart", 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 28, 263
"c:\programas\exa_gammer_movil\lib\models\juego_model.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\programas\exa_gammer_movil\lib\models\user_model.dart", "Dart", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 18, 128
"c:\programas\exa_gammer_movil\lib\service\localServices.dart", "Dart", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 15, 164
"c:\programas\exa_gammer_movil\lib\ui\app.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\programas\exa_gammer_movil\lib\ui\course\courseContentView.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"c:\programas\exa_gammer_movil\lib\ui\course\courseView.dart", "Dart", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"c:\programas\exa_gammer_movil\lib\ui\course\widget\lessonDialog.dart", "Dart", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 4, 6, 127
"c:\programas\exa_gammer_movil\lib\ui\course\widget\modulesTab.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"c:\programas\exa_gammer_movil\lib\ui\course\widget\questionsTab.dart", "Dart", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 9, 113
"c:\programas\exa_gammer_movil\lib\ui\dialogs\dialogo_ingresar_clase.dart", "Dart", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 3, 81
"c:\programas\exa_gammer_movil\lib\ui\home\estudiante\detalle_clase_estu.dart", "Dart", 0, 0, 321, 0, 0, 0, 0, 0, 0, 0, 3, 19, 343
"c:\programas\exa_gammer_movil\lib\ui\home\estudiante\home_estudiante.dart", "Dart", 0, 0, 472, 0, 0, 0, 0, 0, 0, 0, 12, 22, 506
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\Widgets_Inicio_Sesion\custom_tab.dart", "Dart", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 3, 73
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\Widgets_Inicio_Sesion\fondo_login.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\Widgets_Inicio_Sesion\footer_dot.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
